 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Hint_Level_186,Drag to put 2 pieces of the bridge together,Kéo để ghép 2 mảnh cây cầu ,다리의 2 개를 함께 넣으려면 드래그하십시오,拖动将2件桥放在一起,Перетащить 2 кусочки моста вместе,Trascina per mettere 2 pezzi del ponte insieme,Faites glisser pour mettre 2 morceaux du pont ensemble,ドラッグして一緒に2個の橋を置く,Arrastre para poner 2 piezas del puente juntos.,"Ziehen Sie, um 2 Teile der Brücke zusammen zu setzen"
Hint_Level_187,,,,,,,,,,
Hint_Level_188,Erase the sand castle,Xóa lâu đài cát,모래 성을 지우십시오,抹去沙堡,Стереть замок песка,Cancella il castello di sabbia,Effacer le château de sable,砂の城を消す,Borrar el castillo de arena,Lösche das Sandburg
Hint_Level_189,Draw a pole ,Vẽ cột để cô gái bám vào ,극을 그립니다,画一个杆子,Нарисовать полюс,Disegna un palo,Dessiner un pôle,極を描く,Dibujar un palo,Einen Pole ziehen
Hint_Level_190,Touch to turn on the fan under the girl dress,Chạm để bật quạt gió dưới chân cô gái,소녀 드레스 아래 팬을 켜려면 터치하십시오.,触摸打开女孩衣服下的风扇,"Прикосновение, чтобы включить вентилятор под платьем девушки",Tocca per accendere il ventilatore sotto il vestito da ragazza,Touchez pour allumer le ventilateur sous la robe de fille,ガールドレスの下のファンの電源を入れる,Toque para encender el ventilador debajo del vestido de la niña,"Berühren Sie, um den Lüfter unter dem Mädchenkleid einzuschalten"
Hint_Level_191,Draw her makeup,Vẽ lớp makeup cho cô nàng,그녀의 메이크업을 그립니다,画她的化妆,Нарисуйте ее макияж,Disegna il trucco,Dessiner son maquillage,彼女の化粧を描く,Dibuja su maquillaje,Zeichne ihr Make-up.
Hint_Level_192,Drag the dress on the bathroom sign,Kéo chiếc váy khỏi biển báo trên nhà vệ sinh,욕실 표지판에서 드레스를 드래그하십시오,把衣服拖着浴室标志,Перетащите платье на знак ванной,Trascina il vestito sul segno del bagno,Faites glisser la robe sur le panneau de la salle de bain,バスルームの看板にドレスをドラッグします,Arrastra el vestido en el signo del baño.,Ziehen Sie das Kleid auf das Badschild
Hint_Level_193,Tap to stop at the red zone ,Chạm để thanh lực dừng ở khu vực đỏ ,탭하여 빨간색 영역에서 중지하십시오,点击以停止在红色区域,"Нажмите, чтобы остановиться в красной зоне",Toccare per fermarmi alla zona rossa,Appuyez sur pour vous arrêter à la zone rouge,赤いゾーンで停止するにはタップします,Toque para detenerse en la zona roja,"Tippen Sie auf, um in der roten Zone zu stoppen"
Hint_Level_194,Erase the Weight Plates,Xóa bớt bánh cân,체중 판을 지우십시오,擦除重量板,Стереть весовые пластины,Cancella le piastre di peso,Effacer les plaques de poids,重量プレートを消去します,Borrar las placas de peso,Löschen Sie die Gewichtsplatten
Hint_Level_195,Drag the tortoiseshell,Kéo mai rùa,거북이를 드래그하십시오,拖动玳瑁,Перетащите черепаха,Trascina la tartaruga,Faites glisser la tortue,カメシェルをドラッグします,Arrastra la caresta,Ziehen Sie die Tortoiseshell.
Hint_Level_196,Drag the photo to the frame,Kéo bức tranh ở dưới đặt vào khung,사진을 프레임으로 드래그하십시오,将照片拖到框架上,Перетащите фотографию в рамку,Trascina la foto sul telaio,Faites glisser la photo sur le cadre,写真をフレームにドラッグします,Arrastra la foto al marco.,Ziehen Sie das Foto in den Rahmen
Hint_Level_197,,,,,,,,,,
Hint_Level_198,Drag snow white dress,kéo váy cô nàng bạch tuyết,스노우 스노우 흰 드레스를 드래그하십시오,拖雪白连衣裙,Перетащите белоснежное платье,Trascina vestito bianco della neve,Faites glisser la robe blanche de neige,雪の白いドレスをドラッグします,Arrastre vestido blanco nieve,Schneeweiße Kleid ziehen
Hint_Level_199,Tap to stop at the red zone ,Chạm để thanh lực dừng ở khu vực đỏ ,탭하여 빨간색 영역에서 중지하십시오,点击以停止在红色区域,"Нажмите, чтобы остановиться в красной зоне",Toccare per fermarmi alla zona rossa,Appuyez sur pour vous arrêter à la zone rouge,赤いゾーンで停止するにはタップします,Toque para detenerse en la zona roja,"Tippen Sie auf, um in der roten Zone zu stoppen"
Hint_Level_200,Drag minute hand on the clock,Kéo ngược kim phút của đồng hồ ,시계를 끌기 분,在时钟上拖着分钟手,Перетащите минутную руку на часы,Trascina la mano dei minuti sull'orologio,Faites glisser la main minute sur l'horloge,時計の手をドラッグします,Arrastre la mano de minutos en el reloj,Ziehen Sie die Winzige Hand auf der Uhr
Hint_Level_201,,,,,,,,,,
Hint_Level_202,,,,,,,,,,
Hint_Level_203,,,,,,,,,,
Hint_Level_204,,,,,,,,,,
Hint_Level_205,Drag the letter L,Kéo chữ L vào ô,편지 L 드래그,拖动字母l,Перетащите письмо л,Trascina la lettera l,Faites glisser la lettre l,文字Lをドラッグします,Arrastre la letra l,Ziehen Sie den Buchstaben l
Hint_Level_206,,,,,,,,,,
Hint_Level_207,Draw fire on the candle,vẽ ngọn lửa trên cây nến,촛불에 불을 그립니다,在蜡烛上吸引火,Притягивать огонь на свечу,Disegnare fuoco sulla candela,Tracez le feu sur la bougie,ろうそくに火をつける,Dibujar fuego en la vela,Feuer auf die Kerze ziehen
Hint_Level_208,,,,,,,,,,
Hint_Level_209,,,,,,,,,,
Hint_Level_210,Erase the old Jinx,Xóa jinx bé,오래된 Jinx를 지우십시오,擦除旧的jinx,Стереть старый jinx,Cancella il vecchio jinx,Effacer le vieux jinx,昔のJinxを消去します,Borrar el viejo jinx,Löschen Sie den alten Jinx
Hint_Level_211,,,,,,,,,,
Hint_Level_212,,,,,,,,,,
Hint_Level_213,,,,,,,,,,
Hint_Level_214,,,,,,,,,,
Hint_Level_215,Check under the tree,Kiểm tra phía dưới cái cây xem,나무 밑에서 확인하십시오,check,Проверьте под деревом,Controlla sotto l'albero,Vérifiez sous l'arborescence,木の下をチェックしてください,Compruebe debajo del árbol,Überprüfen Sie unter dem Baum
Hint_Level_216,Move the curtain,Di chuyển tấm rèm,커튼을 움직여 라,移动窗帘,Переместить занавес,Muovi la tenda,Déplacer le rideau,カーテンを動かす,Mover la cortina,Den Vorhang bewegen
Hint_Level_217,Drag the photo,Kéo tấm ảnh,사진을 드래그하십시오,拖动照片,Перетащите фото,Trascina la foto,Faire glisser la photo,写真をドラッグします,Arrastra la foto,Ziehen Sie das Foto
Hint_Level_219,Choose an answer for the guy,Chọn đáp án cho chàng trai,가이에 대한 답변을 선택하십시오,为这个家伙选择一个答案,Выберите ответ для парня,Scegli una risposta per il ragazzo,Choisissez une réponse pour le gars,Guyの答えを選ぶ,Elige una respuesta para el chico,Wählen Sie eine Antwort für den Kerl
Hint_Level_220,Choose an answer for the guy,Chọn đáp án cho chàng trai,가이에 대한 답변을 선택하십시오,为这个家伙选择一个答案,Выберите ответ для парня,Scegli una risposta per il ragazzo,Choisissez une réponse pour le gars,Guyの答えを選ぶ,Elige una respuesta para el chico,Wählen Sie eine Antwort für den Kerl
Hint_Level_221,Choose an answer for the girl,Chọn đáp án cho cô nàng,소녀를위한 답을 선택하십시오,为女孩选择一个答案,Выберите ответ для девушки,Scegli una risposta per la ragazza,Choisissez une réponse pour la fille,女の子の答えを選択してください,Elige una respuesta para la niña.,Wählen Sie eine Antwort für das Mädchen
Hint_Level_222,Choose an answer for 456,Chọn đáp án cho 456,456에 대한 답변을 선택하십시오,选择456的答案,Выберите ответ на 456,Scegli una risposta per 456,Choisissez une réponse pour 456,456の答えを選択してください,Elige una respuesta para 456,Wählen Sie eine Antwort für 456
Win_Level_1,Play hide and seek without clothes...are they?,Chỉ là chơi trốn tìm không may bị rớt đồ thôi mà!,옷 없이 숨바꼭질을 하세요...맞나요?,不穿衣服玩捉迷藏……是吗？,Играют в прятки без одежды...а?,Giocano a nascondino senza vestiti... vero?,Jouez à cache-cache sans vêtements...n'est-ce pas ?,かくれんぼをして服を着ずに...そうですか？,Juega al escondite sin ropa... Â¿verdad?,Spielst du Verstecken ohne Kleidung...oder?
Win_Level_2,I swear to look just at the apple and bottle...,Tôi thề là tôi chỉ nhìn thấy 2 quả táo và hộp đồ ăn thôi!,맹세코 사과와 상자만 보고...,我发誓只看苹果和盒子……,Клянусь смотреть только на яблоко и коробку...,Giuro di guardare solo la mela e la scatola...,Je jure de regarder juste la pomme et la boîte...,私はリンゴと箱だけを見ることを誓います...,Juro mirar solo la manzana y la caja...,"Ich schwÃ¶re, nur auf den Apfel und die Schachtel zu schauen..."
Win_Level_3,Bad girl is fun,Tôi thích gái hư!,나쁜 여자는 재미있다,坏女孩很好玩,Плохая девочка - это весело,La cattiva ragazza è divertente,La mauvaise fille est amusante,悪い女の子は楽しいです,La chica mala es divertida,BÃ¶ses MÃ¤dchen macht SpaÃŸ
Win_Level_4,"Nextime, find a non-lipstick girl",Ngoại tình là dở rồi!,"다음으로, 립스틱 없는 여자를 찾아라",下次找个不涂口红的妹子,"Nextime, найди девушку без помады","La prossima volta, trova una ragazza senza rossetto","La prochaine fois, trouve une fille sans rouge à lèvres",Nextime、口紅以外の女の子を探す,"La prÃ³xima vez, encuentra una chica que no use lÃ¡piz labial",Finde das nÃ¤chste Mal ein MÃ¤dchen ohne Lippenstift
Win_Level_5,"The shorter Clothes is, the better i see",Wow! Quần áo của cô ấy đẹp quá!,옷이 짧을수록 잘 보이네,衣服越短，我看得越好,"Чем короче одежда, тем лучше я вижу","Più i vestiti sono corti, meglio vedo","Plus les vêtements sont courts, mieux je vois",服が短いほど見栄えが良くなります,"Cuanto mÃ¡s corta es la ropa, mejor veo","Je kÃ¼rzer die Kleidung ist, desto besser, wie ich sehe"
Win_Level_6,Makeup own all man on earth an apology,Make up nợ đàn ông 1 lời xin lỗi!,메이크업은 지구상의 모든 남자를 소유하고 있다,化妆该向地球人道歉,"Макияж владеет всем человеком на земле, извиняюсь",Il trucco possiede tutto l'uomo sulla terra delle scuse,Le maquillage possède tous les hommes sur terre des excuses,メイクは地球上のすべての人を所有している謝罪,Maquillaje propio de todo el hombre en la tierra una disculpa,Make-up gibt allen Menschen auf Erden eine Entschuldigung
Win_Level_7,Bigger is better,Ước gì tôi cũng có quả dưa hấu đó!,클수록 좋다,越大越好,"Чем больше, тем лучше","Più grande è, meglio è",Plus c'est gros mieux c'est,大きいほど良い,MÃ¡s grande es mejor,GrÃ¶ÃŸer ist besser
Win_Level_8,All man are faithful until they got caught,Gã đàn ông tệ bạc!,모든 사람은 잡힐 때까지 충실하다,所有的人都是忠诚的，直到他们被抓住,"Все люди верны, пока их не поймают",Tutti gli uomini sono fedeli finché non vengono beccati,Tous les hommes sont fidèles jusqu'à ce qu'ils se fassent prendre,彼らが捕まるまで、すべての人は忠実です,Todos los hombres son fieles hasta que los atraparon,"Alle Menschen sind treu, bis sie erwischt werden"
Win_Level_9,And they said Manners maketh man,Sao lại cởi quần áo của người ta ra thế!,그리고 그들은 매너가 사람을 만든다고 했다,他们说礼仪造就人,"И они сказали, что манеры делают человека",E dicevano che le buone maniere fanno l'uomo,Et ils ont dit que les bonnes manières font l'homme,そして彼らはマナーが人を作ると言いました,Y dijeron que los modales hacen al hombre,"Und sie sagten, Manieren machen Menschen"
Win_Level_10,"55kg of clothes, hello gym's queen","Bộ quần áo 55kg, chắc cố ấy đứng đầu phòng gym!","55kg의 옷, 헬로 체육관의 여왕",55 公斤的衣服，你好健身房的女王,"55 кг одежды, привет, королева спортзала","55kg di vestiti, ciao regina della palestra","55kg de vêtements, bonjour la reine du gym",55kg の服、こんにちはジムの女王,"55 kg de ropa, hola reina del gimnasio","55kg Klamotten, hallo KÃ¶nigin des Fitnessstudios"
Win_Level_11,A talking tree,Bụi cây biết nói,말하는 나무,会说话的树,Говорящее дерево,Un albero parlante,Un arbre qui parle,しゃべる木,Un Ã¡rbol parlante,Ein sprechender Baum
Win_Level_12,Is it any better if that is a girl instead?,Cô vợ hết hồn!,그 대신 여자라면 더 좋지 않을까?,如果换成女孩会更好吗？,"Что лучше, если это будет девушка?",È meglio se invece è una ragazza?,Est-ce mieux si c'est une fille à la place ?,それが代わりに女の子であるならば、それはもっと良いですか？,Â¿Es mejor si en cambio es una niÃ±a?,"Ist es besser, wenn das stattdessen ein MÃ¤dchen ist?"
Win_Level_13,"Wear lingerie to the market, it must be ""hot"" out there",Anh chồng chắc là thích lắm!,"란제리를 입고 시장에 나가, 밖은 틀림없이 ""더워""",穿内衣去市场，外面一定很“热”,"Носите нижнее белье на рынок, там должно быть ""жарко""","Indossa lingerie al mercato, deve fare ""caldo"" là fuori","Porter de la lingerie au marché, il doit être ""chaud"" là-bas",市場にランジェリーを着てください、それはそこに「暑い」に違いありません,"Use lencerÃ­a para el mercado, debe estar ""caliente"" ahÃ­ fuera","Trage Dessous auf dem Markt, es muss ""heiÃŸ"" sein da drauÃŸen"
Win_Level_14,Blow...wind...blow,Cái quạt thiệt là hiểu ý tôi!,분다…바람이…분다,吹……风……吹,Дуть...ветер...дуть,Soffia...vento...soffia,Souffle...vent...souffle,吹く...風...吹く,Sopla... viento... sopla,Schlag...Wind...Schlag
Win_Level_15,"Cover the book cover, smart man",Ông kia thật là nghiêm túc!,"책 표지를 덮어라, 똑똑한 남자",盖好书皮，聪明人,"Закройте обложку книги, умный человек","Copri la copertina del libro, furbone","Couvre la couverture du livre, homme intelligent",本の表紙を覆う、賢い人,"Cubre la portada del libro, hombre inteligente","Decke das Buchcover ab, kluger Mann"
Win_Level_16,The royal family will of course ask for secrecy,Hoàng tộc tất nhiên sẽ yêu cầu sự kín đáo,왕실 가족은 물론 기밀을 요청합니다,王室当然会要求保密,"Королевская семья, конечно, попросит секретности",La famiglia reale chiederà ovviamente la segretezza,La famille royale va bien sûr demander le secret,ロイヤルファミリーはもちろん秘密を求めるでしょう,"La familia real, por supuesto, pedirá el secreto.",Die königliche Familie wird natürlich um Geheimhaltung fragen
Win_Level_17,Don't believe in what you see,Game là dễ!,당신이 보는 것을 믿지 마세요,不要相信你所看到的,"Не верь в то, что видишь",Non credere a quello che vedi,Ne crois pas en ce que tu vois,あなたが見ているものを信じないでください,No creas en lo que ves,"Glaube nicht an das, was du siehst"
Win_Level_18,Do you know that hairy girl can be bald too?,Có ai gu lông chân không ta!,털이 많은 여자도 대머리가 될 수 있다는 것을 알고 있는가?,你知道毛茸茸的女孩也可以秃头吗？,"Вы знаете, что волосатая девушка тоже может быть лысой?",Lo sai che quella ragazza pelosa può essere anche calva?,Savez-vous que cette fille poilue peut aussi être chauve ?,毛むくじゃらの女の子もハゲになることを知っていますか？,Â¿Sabes que esa peluda tambiÃ©n puede ser calva?,"WeiÃŸt du, dass haarige MÃ¤dchen auch eine Glatze haben kÃ¶nnen?"
Win_Level_19,2 girls 1 man? Now i wonder about room owner gender,Ngôi nhà này đông vui quá nhỉ!,여자 2명 남자 1명? 이제 방 주인 성별이 궁금하다,2 女 1 男？现在我想知道房主的性别,2 девушки 1 мужчина? Теперь меня интересует пол владельца комнаты,2 ragazze 1 uomo? Ora mi chiedo il genere del proprietario della stanza,"2 filles 1 homme ? Maintenant, je m'interroge sur le sexe du propriétaire de la chambre",2 人の女の子 1 人の男性？今、私は部屋の所有者の性別について疑問に思います,Â¿2 chicas y 1 hombre? Ahora me pregunto sobre el gÃ©nero del dueÃ±o de la habitaciÃ³n,2 MÃ¤dchen 1 Mann? Jetzt wundere ich mich Ã¼ber das Geschlecht des Zimmerbesitzers
Win_Level_20,My mom always said Pretty girls are danger,Thật là sợ! Nhưng mà cô ấy đi tắm ko cởi hết đồ!,우리 엄마는 항상 예쁜 여자가 위험하다고 했다,我妈妈总是说漂亮的女孩很危险,"Моя мама всегда говорила, что красивые девушки опасны",Mia madre diceva sempre che le ragazze carine sono pericolose,Ma mère disait toujours que les jolies filles sont un danger,私のお母さんはいつも可愛い女の子は危険だと言っていました,Mi mamÃ¡ siempre decÃ­a que las chicas guapas son un peligro,"Meine Mutter hat immer gesagt, hÃ¼bsche MÃ¤dchen sind gefÃ¤hrlich"
Win_Level_21,The true form of love: arguing over a tree,Xém nữa thì ly dị!,진정한 사랑의 형태: 나무에 대한 논쟁,爱情的真面目：为树争吵,Истинная форма любви: спор из-за дерева,La vera forma dell'amore: litigare per un albero,La vraie forme de l'amour: se disputer pour un arbre,愛の真の姿：木をめぐって議論する,La verdadera forma del amor: discutir sobre un Ã¡rbol,Die wahre Form der Liebe: Streit um einen Baum
Win_Level_22,I bet you like the shadow better,Tôi thích suy nghĩ của các bạn khi chưa kéo rèm!,나는 당신이 그림자를 더 좋아할 것이라고 본다,我打赌你更喜欢影子,"Бьюсь об заклад, тебе больше нравится тень",Scommetto che ti piace di più l'ombra,Je parie que tu préfères l'ombre,私はあなたが影の方が好きだと思います,Apuesto a que te gusta mÃ¡s la sombra,"Ich wette, dir gefÃ¤llt der Schatten besser"
Win_Level_23,And no one look at Crow King!!,Mê trai đầu thai không hết!,그리고 아무도 Crow King을 보지 않는다!!,没有人看乌鸦王！！,И никто не смотрит на Короля Ворона!!,E nessuno guarda Crow King!!,Et personne ne regarde Crow King !!,そして、誰もクローキングを見ません！,Â¡Y nadie mira al Rey Cuervo !,Und niemand schaut Crow King an!!
Win_Level_24,Plastic beauty is still better than natural urgly,"Quá khư hơi xấu, nhưng bây giờ thì ngon!",플라스틱 미인은 여전히 내츄럴 칙칙한 것보다 낫다,整形美还是不如自然美,Пластическая красота все же лучше натурального ургула,La bellezza plastica è meglio della bruttezza naturale,La beauté plastique est toujours meilleure que l'urgence naturelle,プラスチックの美しさはまだ自然な緊急よりも優れています,La belleza plÃ¡stica es aÃºn mejor que lo feo natural,Plastische SchÃ¶nheit ist immer noch besser als natÃ¼rliches DrÃ¤ngen
Win_Level_25,"Imagine your shadow look different from you, God!",Ôi! Nàng thật xịn xò!,"당신의 그림자가 당신과 다르게 보인다고 상상해 보라, 신이시여!",想象一下你的影子看起来和你不一样，上帝！,"Представь, что твоя тень отличается от тебя, Боже!","Immagina che la tua ombra sia diversa da te, Dio!","Imagine que ton ombre soit différente de toi, Dieu !",あなたの影があなたとは異なって見えると想像してみてください、神様！,"Â¡Imagina que tu sombra se ve diferente a ti, Dios!","Stelle dir vor, dein Schatten sieht anders aus als du, Gott!"
Win_Level_26,Only creep like to flirt in the dark,Thật là đơn giản!,어둠 속에서 바람둥이처럼 크리프,只有蠕动喜欢在黑暗中调情,Только чудики любят флиртовать в темноте,Solo al creep piace flirtare al buio,Seulement ramper comme flirter dans le noir,暗闇の中でイチャイチャするのが好きなだけクリープ,Solo le gusta coquetear en la oscuridad,"Nur kriechen, gerne im Dunkeln flirten"
Win_Level_27,"Ok, so you chose the ""big one""?",Số 1 to quá trời!,"자, ""큰 것""을 선택했나?",好的，所以你选择了“大的”？,"Итак, вы выбрали ""большой""?","Ok, quindi hai scelto quello ""grande""?","Ok, donc tu as choisi le ""grand"" ?",さて、あなたは「大きなもの」を選びましたか？,"Ok, entonces, Â¿elegiste el ""grande""?","Ok, du hast dich also fÃ¼r den ""GroÃŸen"" entschieden?"
Win_Level_28,"Acording to fairy tale, Dwarfs gold brings bad luck",Không ai giàu bằng ngân hàng đâu!,동화에 따르면 드워프 금은 불운을 가져온다,根据童话故事，小矮人黄金会带来厄运,"Согласно сказке, золото гномов приносит несчастье","Secondo la fiaba, l'oro dei nani porta sfortuna","Selon un conte de fées, l'or des nains porte malheur",おとぎ話によると、ドワーフの金は不運をもたらします,"SegÃºn el cuento de hadas, el oro de los enanos trae mala suerte",Dem MÃ¤rchen nach bringt Zwergengold UnglÃ¼ck
Win_Level_29,Finders keepers,Ăn vụng lại ko chùi sạch mép!,파인더 키퍼,发现者守门员,Хранители искателей,Chi lo trova se lo tiene,Les gardiens des trouveurs,ファインダキーパー,Guardianes de buscadores,"Wer es findet, darf es behalten"
Win_Level_30,Picasso started his career with just some messy painting,Vẽ bậy là phải đánh đòn!,피카소는 지저분한 그림으로 그의 경력을 시작했다,毕加索以一些凌乱的画作开始了他的职业生涯,Пикассо начал свою карьеру с грязной живописи,Picasso ha iniziato la sua carriera solo con un dipinto disordinato,Picasso a commencé sa carrière avec juste une peinture en désordre,ピカソは、いくつかの厄介な絵から彼のキャリアを始めました,Picasso comenzÃ³ su carrera con solo una pintura desordenada.,Picasso begann seine Karriere mit ein paar unordentlichen GemÃ¤lden
Win_Level_31,Adult can be mean too,May là không ai bị mù màu!,어른도 의미가 있을 수 있다,成人也可能会很刻薄,Взрослый тоже может быть злым,Anche l'adulto può essere cattivo,L'adulte peut être méchant aussi,大人も意地悪かもしれません,Los adultos tambiÃ©n pueden ser malos,Erwachsene kÃ¶nnen auch gemein sein
Win_Level_32,The way to a man's heart is through his stomach...Foxy too,Miếng ăn là miếng tồi tàn!,사람의 마음에 이르는 길은 배를 통과한다...폭시도 마찬가지,通向男人心的方法是通过他的胃……Foxy 也是,Путь к сердцу мужчины лежит через его желудок...Фокси тоже,La strada per il cuore di un uomo passa attraverso il suo stomaco... anche la volpe,Le chemin vers le cœur d'un homme passe par son estomac...Foxy aussi,男の心への道は彼の胃を通ることです...フォクシーも,El camino al corazÃ³n de un hombre es a travÃ©s de su estÃ³mago... al de Foxy tambiÃ©n,MÃ¤nnerherzen gehen durch den Magen...auch Foxy
Win_Level_33,Dog is human best friend,Đúng là khôn như chó!,개는 인간의 가장 친한 친구다,狗是人类最好的朋友,Собака - лучший друг человека,Il cane è il migliore amico dell'uomo,Le chien est le meilleur ami de l'homme,犬は人間の親友です,El perro es el mejor amigo de los humanos,Der Hund ist der beste Freund des Menschen
Win_Level_34,Tattooing actually has longer story than you may think,Tôi cứ tưởng 2 ông cùng là bố đứa trẻ!,문신에는 실제로 생각보다 긴 이야기가 있다,纹身的故事实际上比你想象的要长,"У татуировки на самом деле более длинная история, чем вы думаете",Il tatuaggio in realtà ha una storia più lunga di quanto tu possa pensare,Le tatouage a en fait une histoire plus longue que vous ne le pensez,入れ墨は実際にはあなたが思っているよりも長い物語を持っています,El tatuaje tiene una historia mÃ¡s larga de lo que piensas,"TÃ¤towieren hat tatsÃ¤chlich eine lÃ¤ngere Geschichte, als du vielleicht denkst"
Win_Level_35,Cat has nine live so don't worry eight more relationship,Lại sắp có mèo con rồi!,고양이는 9개의 생명을 가지고 있으므로 8개의 관계를 더 가져도 걱정 없다,猫有九条命所以不要担心，八个更多的关系,"У кошки девять живых, так что не волнуйтесь еще восемь отношений",Il gatto ha nove vite quindi non preoccuparti altre otto relazioni,Le chat a neuf vies alors ne t'inquiète pas huit autres relations,猫は 9 つのライブを持っているので、さらに 8 つの関係を心配しないでください,"El gato tiene nueve vidas, asÃ­ que no te preocupes, ocho relaciones mÃ¡s","Die Katze hat neun Leben, also mach dir keine Sorgen um acht weitere Beziehungen"
Win_Level_36,A dog will comes back to his owner in any cost,Trốn kỹ đấy,개는 무슨 수를 써서라도 주인에게 돌아올 것이다,狗会不惜一切代价回到主人身边,Собака вернется к своему хозяину любой ценой,Il cane tornerà dal suo proprietario ad ogni costo,Un chien reviendra à son maître coûte que coûte,犬はどんな犠牲を払っても飼い主に戻ってきます,Un perro volverÃ¡ con su dueÃ±o a cualquier precio.,Ein Hund kommt um jeden Preis zu seinem Besitzer zurÃ¼ck
Win_Level_37,Life is unfair so get use with it,Xanh chơi đểu quá!,인생은 불공평하니 잘 활용해,生活是不公平的，所以好好利用它,"Жизнь несправедлива, так что используй ее","La vita è ingiusta, quindi usala",La vie est injuste alors s'en servir,人生は不公平なので、それを使いましょう,"La vida es injusta, asÃ­ que acostÃºmbrate","Das Leben ist unfair, also gewÃ¶hn dich daran"
Win_Level_38,Monster deserves with love too,"Sợ hãi các thứ, các thứ!",몬스터도 사랑받을 자격이 있다,怪物也值得被爱,Монстр тоже заслуживает любви,Anche il mostro merita amore,Monstre mérite aussi avec amour,モンスターも愛に値する,El monstruo tambiÃ©n se merece amor,Das Monster verdient auch mit Liebe
Win_Level_39,Becareful with those beautiful lady around you,Phụ nữ là những niềm đau!,주위에 그 아름다운 여자를 조심해,小心身边的美女,Остерегайтесь этой красивой леди вокруг вас,Fai attenzione con quelle belle donne intorno a te,Faites attention à ces belles dames autour de vous,あなたの周りのそれらの美しい女性に注意してください,Cuidado con esas hermosas damas a tu alrededor,Pass auf mit dieser schÃ¶nen Dame um dich herum
Win_Level_40,Which one is higher: The sun or the moon?,Đố ai cao được bằng ông trời!,해와 달 중 어느 쪽이 더 높을까?,哪个更高：太阳还是月亮？,Что выше: Солнце или Луна?,Qual è più alto: il sole o la luna?,Lequel est le plus haut: le soleil ou la lune ?,どちらが高いですか：太陽または月？,Â¿CuÃ¡l estÃ¡ mÃ¡s alto: el sol o la luna?,Was ist hÃ¶her: Die Sonne oder der Mond?
Win_Level_41,Jewelry is woman best friend,Tiền là chân ái!,보석은 여자의 가장 친한 친구,珠宝是女人最好的朋友,Ювелирные изделия - лучший друг женщины,I gioielli sono i migliori amici delle donne,Les bijoux sont le meilleur ami de la femme,ジュエリーは女性の親友です,Las joyas son la mejor amiga de las mujeres,Schmuck ist der beste Freund der Frau
Win_Level_42,"Life is hard, it harder when you surrounded by thief",Đã lấy cắp rồi còn hay hóng hớt!,"삶은 힘들고, 도둑에게 둘러싸여 있으면 더 힘들어",生活不易，被小偷包围更难,"Жизнь тяжела, труднее, когда тебя окружает вор","La vita è dura, è più difficile quando sei circondato da un ladro","La vie est dure, c'est plus dur quand tu es entouré d'un voleur",Liife は難しいです、泥棒に囲まれていると難しいです,"La vida es dura, es mÃ¡s difÃ­cil cuando estÃ¡s rodeado de ladrones.","Das Leben ist schwer, es ist schwerer, wenn du vom Dieb umgeben bist"
Win_Level_43,He is batman and i am bed-man,Khó thế mà cũng nghĩ ra!,그는 배트맨이고 나는 베드맨,他是蝙蝠侠而我是床上的人,"Он денщик, а я спящий",Lui è Batman e io sono il bed-man,Il est batman et je suis M. Lit,彼はバットマンで、私はベッドマンです,Ã‰l es Batman y yo soy Bed-Man (dormilÃ³n),Er ist Batman und ich bin Bettmann
Win_Level_44,Exploding Teddy inspired by Exploding Kittens,Đừng nhìn mặt mà bắt hình dong!,폭발하는 고양이에서 영감을 받은 폭발하는 테디,受爆炸小猫启发的爆炸泰迪熊,"Взрывающийся Тедди, вдохновленный взрывающимися котятами",Orsetto esplosivo ispirato a Exploding Kittens,Exploding Teddy inspiré par Exploding Kittens,爆発する子猫に触発された爆発するテディ,Peluche explosivo inspirado en gatitos explosivos,Exploding Teddy inspiriert von Exploding Kittens
Win_Level_45,How to make a woman love math: add more diamond on it,Là người thì mới yêu nhau được chứ!,여자가 수학을 사랑하게 만드는 방법: 다이아몬드를 더 추가하라,如何让女人爱上数学：在上面添加更多的钻石,Как заставить женщину полюбить математику: добавьте на нее больше бриллианта,Come far amare la matematica a una donna: aggiungi più diamanti!,Comment faire aimer les maths à une femme: ajoutez plus de diamant dessus,女性に数学を愛させる方法：それにダイヤモンドを追加,CÃ³mo hacer que una mujer ame las matemÃ¡ticas: agrÃ©gale mÃ¡s diamantes,Wie man eine Frau dazu bringt Mathe zu lieben: fÃ¼ge mehr Diamanten hinzu
Win_Level_46,It's hard to say no to bling bling stuff,Kim cương sáng quá!,블링블링을 거부하는 것은 어렵다,很难拒绝金光闪闪的东西,Трудно отказать шику,È difficile dire di no ai gioielli,C'est dur de dire non aux trucs bling bling,キラキラ光るものにノーと言うのは難しい,Es difÃ­cil decir que no a las cosas que brillan,"Es ist schwer, zu Bling-Bling-Sachen nein zu sagen"
